track_number,filename,topic_prefix,learning_band,title,pairs_with
1,ch-00-welcome.mp3,ch,chapter,Chapter 00: Welcome to Git Going with GitHub,
2,ch-01-pre-workshop-setup.mp3,ch,chapter,Chapter 01: Pre-Workshop Setup,
3,cc-01-find-your-way-around.mp3,cc,challenge,Challenge 01: Find Your Way Around,ch-01-pre-workshop-setup.mp3
4,ch-02-github-web-structure.mp3,ch,chapter,Chapter 02: Understanding GitHub on the Web,
5,cc-02-file-your-first-issue.mp3,cc,challenge,Challenge 02: File Your First Issue,ch-02-github-web-structure.mp3
6,ch-03-navigating-repositories.mp3,ch,chapter,Chapter 03: Navigating Repositories,
7,cc-03-join-the-conversation.mp3,cc,challenge,Challenge 03: Join the Conversation,ch-03-navigating-repositories.mp3
8,ch-04-the-learning-room.mp3,ch,chapter,Chapter 04: The Learning Room,
9,cc-04-branch-out.mp3,cc,challenge,Challenge 04: Branch Out,ch-04-the-learning-room.mp3
10,ch-05-working-with-issues.mp3,ch,chapter,Chapter 05: Working with Issues,
11,cc-05-make-your-mark.mp3,cc,challenge,Challenge 05: Make Your Mark,ch-05-working-with-issues.mp3
12,ch-06-working-with-pull-requests.mp3,ch,chapter,Chapter 06: Working with Pull Requests,
13,cc-06-open-your-first-pr.mp3,cc,challenge,Challenge 06: Open Your First Pull Request,ch-06-working-with-pull-requests.mp3
14,ch-07-merge-conflicts.mp3,ch,chapter,Chapter 07: Merge Conflicts Are Not Scary,
15,cc-07-survive-a-merge-conflict.mp3,cc,challenge,Challenge 07: Survive a Merge Conflict,ch-07-merge-conflicts.mp3
16,ch-08-culture-and-etiquette.mp3,ch,chapter,Chapter 08: Open Source Culture and Etiquette,
17,cc-08-open-source-culture.mp3,cc,challenge,Challenge 08: The Culture Layer,ch-08-culture-and-etiquette.mp3
18,ch-09-labels-milestones-projects.mp3,ch,chapter,"Chapter 09: Labels, Milestones, and Projects",
19,cc-09-merge-day.mp3,cc,challenge,Challenge 09: Merge Day,ch-09-labels-milestones-projects.mp3
20,ch-10-notifications.mp3,ch,chapter,Chapter 10: Notifications and Mentions,
21,cc-10-go-local.mp3,cc,challenge,Challenge 10: Go Local,ch-10-notifications.mp3
22,ch-11-vscode-basics.mp3,ch,chapter,Chapter 11: VS Code Setup and Accessibility,
23,cc-11-day-2-pull-request.mp3,cc,challenge,Challenge 11: Open a Day 2 PR,ch-11-vscode-basics.mp3
24,ch-12-git-source-control.mp3,ch,chapter,Chapter 12: Git and Source Control in VS Code,
