uuid,current_slug,narration_id,filename,topic_prefix,topic_number,learning_band,title
5782d363-05ad-4015-a53b-69311bf4a024,ep00-welcome,ep00,ch-00-welcome.mp3,ch,00,chapter,Chapter 00: Welcome to Git Going with GitHub
e7b269f2-4c6b-4644-bfce-0aaf2f8937fe,ep01-pre-workshop-setup,ep01,ch-01-pre-workshop-setup.mp3,ch,01,chapter,Chapter 01: Pre-Workshop Setup
941a3a2b-554f-41dc-96b9-5b98443054b1,ep02-github-web-structure,ep02,ch-02-github-web-structure.mp3,ch,02,chapter,Chapter 02: Understanding GitHub on the Web
a3fc92a0-46cb-4be3-9a61-74ebc8a0b429,ep03-navigating-repositories,ep03,ch-03-navigating-repositories.mp3,ch,03,chapter,Chapter 03: Navigating Repositories
a4c497d9-535e-4040-a3e4-bfeffb9401ae,ep04-the-learning-room,ep04,ch-04-the-learning-room.mp3,ch,04,chapter,Chapter 04: The Learning Room
e2c04356-2759-42bf-ac4a-3f1326db1213,ep05-working-with-issues,ep05,ch-05-working-with-issues.mp3,ch,05,chapter,Chapter 05: Working with Issues
6c7d19fd-bd1e-4be6-adb2-9f0b48a552c8,ep06-working-with-pull-requests,ep06,ch-06-working-with-pull-requests.mp3,ch,06,chapter,Chapter 06: Working with Pull Requests
7c1f250f-100d-40e5-b2de-5f6cb05d6e9f,ep07-merge-conflicts,ep07,ch-07-merge-conflicts.mp3,ch,07,chapter,Chapter 07: Merge Conflicts Are Not Scary
03c96ea0-7cfa-428c-bd62-c1f6b8f70318,ep08-culture-and-etiquette,ep08,ch-08-culture-and-etiquette.mp3,ch,08,chapter,Chapter 08: Open Source Culture and Etiquette
825f9c85-a86e-4b2c-a4b2-4f33de3767f3,ep09-labels-milestones-projects,ep09,ch-09-labels-milestones-projects.mp3,ch,09,chapter,"Chapter 09: Labels, Milestones, and Projects"
a9c6f562-4499-4659-8e98-dc33365bb389,ep10-notifications,ep10,ch-10-notifications.mp3,ch,10,chapter,Chapter 10: Notifications and Mentions
e20fe72e-c09c-4c1c-9c35-a3d6dd03dbb7,ep11-vscode-basics,ep11,ch-11-vscode-basics.mp3,ch,11,chapter,Chapter 11: VS Code Setup and Accessibility
f12549cd-8ed9-40b9-9e82-5f1cc2f02cfe,ep12-git-source-control,ep12,ch-12-git-source-control.mp3,ch,12,chapter,Chapter 12: Git and Source Control in VS Code
825592b8-b6e3-40b3-a62e-27a3592f92f3,ep13-github-prs-extension,ep13,ch-13-github-prs-extension.mp3,ch,13,chapter,Chapter 13: The GitHub Pull Requests Extension
97ff2e66-6125-4ec5-afae-cbbfb4529873,ep14-github-copilot,ep14,ch-14-github-copilot.mp3,ch,14,chapter,Chapter 14: GitHub Copilot
47ac569d-8fda-4ab9-848f-195728a37863,ep15-accessible-code-review,ep15,ch-15-accessible-code-review.mp3,ch,15,chapter,Chapter 15: Accessible Code Review
d0070b6b-f6b1-4c60-af6c-da79b163374b,ep16-issue-templates,ep16,ch-16-issue-templates.mp3,ch,16,chapter,Chapter 16: Issue Templates
5d406c5d-fda1-428c-9b18-63a2c37c12bf,ep17-accessibility-agents,ep17,ch-17-accessibility-agents.mp3,ch,17,chapter,Chapter 17: Accessibility Agents
c4cb6bdb-7999-4d4a-87cc-3855192ea413,ep18-glossary,ep18,ref-01-glossary.mp3,ref,01,ref,Reference 01: Glossary of Terms
a0edc294-39b9-4c4b-8b88-0184fcb61941,ep19-screen-reader-cheatsheet,ep19,ref-02-screen-reader-cheatsheet.mp3,ref,02,ref,Reference 02: Screen Reader Cheat Sheet
efb32923-7fb1-4c3a-9d8f-c1c5bf2caae1,ep20-accessibility-standards,ep20,ref-03-accessibility-standards.mp3,ref,03,ref,Reference 03: Accessibility Standards Reference
de290bca-ca2a-4303-8cb9-84c0ee7abf9e,ep21-git-authentication,ep21,git-01-git-authentication.mp3,git,01,git,Git Toolkit 01: Git Authentication
ec21e605-c5ca-4ea5-93dc-44d9c3f3dead,ep22-github-flavored-markdown,ep22,tools-01-github-flavored-markdown.mp3,tools,01,tools,Tooling 01: GitHub Flavored Markdown
e4850faf-13b1-43b2-9d66-cc82740efc34,ep23-github-gists,ep23,tools-02-github-gists.mp3,tools,02,tools,Tooling 02: GitHub Gists
af3521b2-0271-4dc0-b725-aed7771fe0ae,ep24-github-discussions,ep24,tools-03-github-discussions.mp3,tools,03,tools,Tooling 03: GitHub Discussions
faa0a825-d870-43df-97e8-b4b921f95aff,ep25-releases-tags-insights,ep25,tools-04-releases-tags-insights.mp3,tools,04,tools,"Tooling 04: Releases, Tags, and Insights"
5cc23d77-6061-4092-8d00-cd10d90b631d,ep26-github-projects,ep26,tools-05-github-projects.mp3,tools,05,tools,Tooling 05: GitHub Projects Deep Dive
df063762-71bf-42e5-9fe2-c4e45a942ac1,ep27-advanced-search,ep27,tools-06-advanced-search.mp3,tools,06,tools,Tooling 06: Advanced Search
a3f97849-1fa6-4a48-b0b8-232002bcaf0c,ep28-branch-protection,ep28,sec-01-branch-protection.mp3,sec,01,sec,Security 01: Branch Protection and Rulesets
bd10a748-164c-48a5-a02c-d75be1243a81,ep29-security-features,ep29,sec-02-security-features.mp3,sec,02,sec,Security 02: GitHub Security Features
a8f94597-272c-45c9-982c-b06cd9adc54a,ep30-vscode-accessibility-reference,ep30,a11y-01-vscode-accessibility-reference.mp3,a11y,01,a11y,Accessibility 01: VS Code Accessibility Reference
1134a33e-60ba-4192-a256-952384b39e1d,ep31-github-codespaces,ep31,tools-07-github-codespaces.mp3,tools,07,tools,Tooling 07: GitHub Codespaces
c337d0ac-3e0e-41db-a12e-898919b8e08e,ep32-github-mobile,ep32,tools-08-github-mobile.mp3,tools,08,tools,Tooling 08: GitHub Mobile
3d23be9d-f3a3-479e-9814-e494a11e06f9,ep33-github-pages,ep33,tools-09-github-pages.mp3,tools,09,tools,Tooling 09: Publishing with GitHub Pages
83f42282-5dd3-4155-9809-a309af1566f8,ep34-github-actions,ep34,tools-10-github-actions.mp3,tools,10,tools,Tooling 10: GitHub Actions and Workflows
afe0af59-e122-4946-b257-83820bb772f6,ep35-profile-sponsors-wikis,ep35,tools-11-profile-sponsors-wikis.mp3,tools,11,tools,"Tooling 11: Profile, Sponsors, and Wikis"
f9b69058-5a1f-4550-8540-68310a5a2bbd,ep36-organizations-templates,ep36,tools-12-organizations-templates.mp3,tools,12,tools,Tooling 12: Organizations and Templates
34ba0bf7-f732-4eff-a700-610f2d640003,ep37-contributing-to-open-source,ep37,ch-21-contributing-to-open-source.mp3,ch,21,chapter,Chapter 21: Contributing to Open Source
fdb46e34-3dfe-4109-9374-7c68340163e4,ep38-resources,ep38,ref-04-resources.mp3,ref,04,ref,Reference 04: Resources and Links
3ba6d2d5-808a-4f31-a8ac-088f38f5655b,ep39-accessibility-agents-reference,ep39,agents-01-accessibility-agents-reference.mp3,agents,01,agents,Agents 01: Accessibility Agents - Complete Reference
60e9e20d-59dc-4618-b21f-eba8a2f087e7,ep40-copilot-reference,ep40,agents-02-copilot-reference.mp3,agents,02,agents,Agents 02: Copilot Reference
bd284e08-3097-4b46-a237-c586cf916d3e,ep41-copilot-models,ep41,agents-03-copilot-models.mp3,agents,03,agents,Agents 03: Copilot Billing and Models
f6c09e20-76ed-4107-8317-e785fc400187,ep42-accessing-workshop-materials,ep42,ref-05-accessing-workshop-materials.mp3,ref,05,ref,Reference 05: Accessing Workshop Materials
56c7b915-f209-4468-9be1-501ffbe76fc8,ep43-github-skills-catalog,ep43,ref-06-github-skills-catalog.mp3,ref,06,ref,Reference 06: GitHub Skills - Complete Course Catalog
9db086ca-c6c0-476d-bfdb-74fb16ed4970,ep44-choose-your-tools,ep44,agents-04-choose-your-tools.mp3,agents,04,agents,Agents 04: Choose Your Tools
5f1a86b1-0325-437f-bba5-2870f74ba30c,ep45-vscode-accessibility-deep-dive,ep45,a11y-02-vscode-accessibility-deep-dive.mp3,a11y,02,a11y,Accessibility 02: VS Code Accessibility Deep Dive
ae6eeda0-18af-4915-8c10-1b7ec69b212c,ep46-how-git-works,ep46,ch-18-how-git-works.mp3,ch,18,chapter,Chapter 18: How Git Works: The Mental Model
3cb0f067-09b5-4328-8613-734b5294e428,ep47-fork-and-contribute,ep47,ch-19-fork-and-contribute.mp3,ch,19,chapter,Chapter 19: Fork and Contribute
917558eb-d37b-46e8-af5d-d1f6e3816cc1,ep48-build-your-agent-capstone,ep48,ch-20-build-your-agent-capstone.mp3,ch,20,chapter,Chapter 20: Build Your Agent: Capstone
dfd1b7c1-6692-40b4-9085-671158a24faa,ep49-github-accessibility-and-open-source,ep49,a11y-03-github-accessibility-and-open-source.mp3,a11y,03,a11y,Accessibility 03: GitHub Accessibility and Open Source at Scale
3d60a94f-0060-4077-86d7-7378059ec042,ep50-advanced-git-operations,ep50,git-02-advanced-git-operations.mp3,git,02,git,Git Toolkit 02: Advanced Git Operations
adecbc6a-1d8d-41e1-ab51-e69722edfa3f,ep51-git-security-for-contributors,ep51,git-03-git-security-for-contributors.mp3,git,03,git,Git Toolkit 03: Git Security for Contributors
63b03ed9-a69d-49cf-a285-bd34235899b1,ep52-github-desktop,ep52,git-04-github-desktop.mp3,git,04,git,Git Toolkit 04: GitHub Desktop
c1bbc918-7686-4959-84e5-b70bc4b75b42,ep53-github-cli-reference,ep53,git-05-github-cli-reference.mp3,git,05,git,Git Toolkit 05: GitHub CLI Reference
54161b03-64e0-4aec-867b-360ce3846a3a,ep54-agent-installation-setup,ep54,agents-05-agent-installation-setup.mp3,agents,05,agents,Agents 05: Agent Installation and Setup
19d7104a-29aa-4ec0-8d16-c03735d76e86,ep55-advanced-agent-patterns,ep55,agents-06-advanced-agent-patterns.mp3,agents,06,agents,Agents 06: Advanced Agent Patterns
8dc5a501-50d6-4ece-bd97-a39bad8e7345,ep56-document-developer-tools,ep56,a11y-04-document-developer-tools.mp3,a11y,04,a11y,Accessibility 04: Document Developer Tools
8e96a939-869f-406c-bf9f-196677343056,ep79-what-comes-next,ep79,ch-22-what-comes-next.mp3,ch,22,chapter,Chapter 22: What Comes Next
106673ef-0050-43cb-987a-fedc06f6c2e6,cc-01-find-your-way-around,cc-01,cc-01-find-your-way-around.mp3,cc,01,challenge,Challenge 01: Find Your Way Around
0a76b55e-ee02-4587-949c-5966f7fba088,cc-02-file-your-first-issue,cc-02,cc-02-file-your-first-issue.mp3,cc,02,challenge,Challenge 02: File Your First Issue
02a68f58-dc8c-4ba0-94b4-116b9900b895,cc-03-join-the-conversation,cc-03,cc-03-join-the-conversation.mp3,cc,03,challenge,Challenge 03: Join the Conversation
5cc815f1-a897-4478-8397-c55c0833752b,cc-04-branch-out,cc-04,cc-04-branch-out.mp3,cc,04,challenge,Challenge 04: Branch Out
526854a2-83e3-42c3-8222-567718ceb41c,cc-05-make-your-mark,cc-05,cc-05-make-your-mark.mp3,cc,05,challenge,Challenge 05: Make Your Mark
4345dad5-18a5-4f95-870b-54c17faf14be,cc-06-open-your-first-pr,cc-06,cc-06-open-your-first-pr.mp3,cc,06,challenge,Challenge 06: Open Your First Pull Request
67e93c8d-b94b-4dbf-83c5-52179e85f27b,cc-07-survive-a-merge-conflict,cc-07,cc-07-survive-a-merge-conflict.mp3,cc,07,challenge,Challenge 07: Survive a Merge Conflict
023e61f1-6942-488b-8a66-47ce4570fecd,cc-08-open-source-culture,cc-08,cc-08-open-source-culture.mp3,cc,08,challenge,Challenge 08: The Culture Layer
79d813eb-5c80-4005-8c88-c9223d73f042,cc-09-merge-day,cc-09,cc-09-merge-day.mp3,cc,09,challenge,Challenge 09: Merge Day
5907cab6-ce2e-4b08-9495-18648802e46d,cc-10-go-local,cc-10,cc-10-go-local.mp3,cc,10,challenge,Challenge 10: Go Local
5dedb746-27de-4565-b071-5027e25febc1,cc-11-day-2-pull-request,cc-11,cc-11-day-2-pull-request.mp3,cc,11,challenge,Challenge 11: Open a Day 2 PR
d1e57b45-7db2-4b14-8b42-f438952d1af4,cc-12-code-review,cc-12,cc-12-code-review.mp3,cc,12,challenge,Challenge 12: Review Like a Pro
23a8abfb-78b5-44c9-ab27-75afdc88ed62,cc-13-copilot-as-collaborator,cc-13,cc-13-copilot-as-collaborator.mp3,cc,13,challenge,Challenge 13: AI as Your Copilot
58d59cbe-fc5e-412d-9b38-45d004446483,cc-14-design-an-issue-template,cc-14,cc-14-design-an-issue-template.mp3,cc,14,challenge,Challenge 14: Template Remix
518ae03c-a223-43f8-8171-14a4e528682a,cc-15-discover-accessibility-agents,cc-15,cc-15-discover-accessibility-agents.mp3,cc,15,challenge,Challenge 15: Meet the Agents
18a3b135-6150-4e59-8e01-bd5930113bc1,cc-16-build-your-own-agent,cc-16,cc-16-build-your-own-agent.mp3,cc,16,challenge,Challenge 16: Build Your Agent (Capstone)
d57260b5-bd03-4cee-8c29-72717c4389da,cc-bonus-a-improve-agent,cc-bonus-a,cc-bonus-a-improve-agent.mp3,cc-bonus,a,bonus,Bonus A: Improve an Agent
